                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1016,                 0.8278,                0.84523,                0.72398,                0.86753,                0.83803,                0.58129,                 1.1503,                 1.0603,                0.89258,               0.007129,               0.007129,               0.007129
                     60,                 1.3685,                  1.069,                0.88667,                0.72398,                0.86753,                0.83803,                0.58129,                 1.1503,                 1.0603,                0.89258,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3501,                 1.1156,                0.89161,                0.78623,                0.80741,                0.85388,                0.62766,                 0.9759,                0.87058,                0.87656,                0.00703,                0.00703,                0.00703
                     62,                 1.0577,                0.87969,                0.85373,                0.78623,                0.80741,                0.85388,                0.62766,                 0.9759,                0.87058,                0.87656,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2459,                   1.41,                 0.9901,                0.95454,                 0.9254,                0.96209,                0.69501,                0.99849,                0.86855,                0.88946,               0.006931,               0.006931,               0.006931
                     64,                0.92096,                0.93516,                0.86963,                0.95454,                 0.9254,                0.96209,                0.69501,                0.99849,                0.86855,                0.88946,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0292,                 1.1704,                0.94353,                0.95955,                0.80741,                0.94134,                 0.6978,                0.95577,                 1.0609,                0.87775,               0.006832,               0.006832,               0.006832
                     66,                 1.0095,                0.86642,                0.86235,                0.95955,                0.80741,                0.94134,                 0.6978,                0.95577,                 1.0609,                0.87775,              0.0067825,              0.0067825,              0.0067825
                     67,                 0.9653,                0.97279,                0.91184,                0.91743,                0.84444,                0.92127,                0.65987,                  1.035,                0.95394,                0.88179,               0.006733,               0.006733,               0.006733
                     68,                 1.0864,                 0.7687,                0.85234,                0.91743,                0.84444,                0.92127,                0.65987,                  1.035,                0.95394,                0.88179,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.075,                0.89976,                0.94098,                0.92133,                0.87246,                 0.9212,                0.62919,                 1.1178,                0.95905,                0.89501,               0.006634,               0.006634,               0.006634
                     70,                 1.1721,                0.86735,                 0.9563,                0.92133,                0.87246,                 0.9212,                0.62919,                 1.1178,                0.95905,                0.89501,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1361,                0.81825,                0.87266,                0.95243,                0.82872,                0.91542,                0.64078,                 1.0592,                0.80483,                0.87808,               0.006535,               0.006535,               0.006535
                     72,                 1.2946,                0.79956,                0.89496,                0.95243,                0.82872,                0.91542,                0.64078,                 1.0592,                0.80483,                0.87808,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1933,                 0.9196,                0.92817,                0.91789,                0.89448,                0.90098,                0.61076,                 1.0881,                0.81351,                0.88545,               0.006436,               0.006436,               0.006436
                     74,                 1.1553,                0.72365,                0.85858,                0.91789,                0.89448,                0.90098,                0.61076,                 1.0881,                0.81351,                0.88545,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1464,                 0.7607,                0.92998,                0.88668,                0.90925,                0.92675,                0.68166,                0.90768,                0.74962,                0.85649,               0.006337,               0.006337,               0.006337
                     76,                 1.0754,                0.68509,                0.80852,                0.88668,                0.90925,                0.92675,                0.68166,                0.90768,                0.74962,                0.85649,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1379,                  0.805,                0.86252,                0.94133,                0.88148,                0.90607,                 0.6107,                 1.1454,                0.91046,                0.88944,               0.006238,               0.006238,               0.006238
                     78,                 1.0539,                0.83755,                0.91168,                0.94133,                0.88148,                0.90607,                 0.6107,                 1.1454,                0.91046,                0.88944,              0.0061885,              0.0061885,              0.0061885
                     79,                0.96839,                0.91818,                0.87395,                0.84746,                0.88148,                0.89421,                0.69352,                0.85562,                0.84409,                0.86478,               0.006139,               0.006139,               0.006139
                     80,                 1.2093,                0.82566,                0.87926,                0.84746,                0.88148,                0.89421,                0.69352,                0.85562,                0.84409,                0.86478,              0.0060895,              0.0060895,              0.0060895
