                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.605,                 2.0886,                0.94403,                0.77486,                0.61303,                 0.6756,                0.45811,                  1.346,                   3.02,                0.96481,               0.010395,              0.0073953,              0.0073953
                     49,                 1.5517,                 2.2399,                 1.0314,                      1,                0.23225,                0.58088,                0.30382,                  1.565,                 3.0113,                0.96141,              0.0084988,              0.0074988,              0.0074988
                     50,                 1.5585,                 2.2146,                 1.0156,                      1,                0.23225,                0.58088,                0.30382,                  1.565,                 3.0113,                0.96141,               0.007525,               0.007525,               0.007525
                     51,                 1.9699,                 2.4856,                 1.0849,                 0.8029,                0.56883,                 0.6701,                0.43213,                 1.4719,                 3.0805,                0.94376,               0.007525,               0.007525,               0.007525
                     52,                 1.5225,                  2.118,                0.94029,                 0.8029,                0.56883,                 0.6701,                0.43213,                 1.4719,                 3.0805,                0.94376,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5752,                 2.1918,                0.99495,                 0.9621,                0.32799,                0.75228,                0.43834,                 1.3778,                 2.5831,                0.93182,               0.007426,               0.007426,               0.007426
                     54,                 1.6076,                 1.8842,                 1.0248,                 0.9621,                0.32799,                0.75228,                0.43834,                 1.3778,                 2.5831,                0.93182,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.7352,                 1.8903,                0.90273,                0.96713,                0.38668,                  0.728,                0.44503,                 1.3812,                  2.635,                0.94253,               0.007327,               0.007327,               0.007327
                     56,                 1.6024,                  2.046,                0.97648,                0.96713,                0.38668,                  0.728,                0.44503,                 1.3812,                  2.635,                0.94253,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4902,                 1.7746,                0.96177,                0.89199,                0.58094,                0.71893,                0.46798,                 1.3471,                 2.2791,                0.94175,               0.007228,               0.007228,               0.007228
                     58,                 1.3244,                  1.773,                0.90669,                0.89199,                0.58094,                0.71893,                0.46798,                 1.3471,                 2.2791,                0.94175,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3815,                 1.7489,                0.91916,                0.85956,                0.37186,                0.73534,                0.47266,                 1.4113,                 2.7423,                  0.955,               0.007129,               0.007129,               0.007129
                     60,                 1.6418,                 2.1809,                0.93842,                0.85956,                0.37186,                0.73534,                0.47266,                 1.4113,                 2.7423,                  0.955,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.529,                 1.8659,                0.96513,                0.93842,                0.60526,                0.72174,                0.50715,                 1.2094,                 2.0838,                0.92792,                0.00703,                0.00703,                0.00703
                     62,                 1.3423,                  1.632,                0.90875,                0.93842,                0.60526,                0.72174,                0.50715,                 1.2094,                 2.0838,                0.92792,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4934,                 2.2046,                 1.1036,                0.92697,                0.54819,                0.78912,                0.50502,                 1.2838,                 2.2805,                0.90949,               0.006931,               0.006931,               0.006931
                     64,                 1.2823,                 1.9111,                0.93688,                0.92697,                0.54819,                0.78912,                0.50502,                 1.2838,                 2.2805,                0.90949,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4646,                 2.2228,                 1.0363,                0.85576,                0.67321,                0.80713,                0.48111,                 1.3407,                 1.9299,                0.94351,               0.006832,               0.006832,               0.006832
                     66,                 1.6827,                 1.8213,                0.94315,                0.85576,                0.67321,                0.80713,                0.48111,                 1.3407,                 1.9299,                0.94351,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4016,                 1.9611,                 0.9794,                0.89208,                0.76558,                0.86012,                0.53938,                 1.4318,                 1.8947,                0.98059,               0.006733,               0.006733,               0.006733
                     68,                 1.2963,                 1.5541,                0.90294,                0.89208,                0.76558,                0.86012,                0.53938,                 1.4318,                 1.8947,                0.98059,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.327,                 1.8069,                  1.003,                0.62902,                0.43704,                0.64578,                0.36048,                 1.5222,                 2.2653,                0.98162,               0.006634,               0.006634,               0.006634
                     70,                 1.3686,                 1.7448,                 1.0144,                0.62902,                0.43704,                0.64578,                0.36048,                 1.5222,                 2.2653,                0.98162,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4521,                  1.659,                0.92822,                0.59895,                0.74893,                0.71385,                0.46226,                 1.2989,                 1.7028,                0.94298,               0.006535,               0.006535,               0.006535
                     72,                  1.417,                 1.5329,                0.93876,                0.59895,                0.74893,                0.71385,                0.46226,                 1.2989,                 1.7028,                0.94298,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3051,                  1.784,                0.96129,                 0.6961,                 0.5925,                0.68429,                0.41847,                 1.4355,                 1.9429,                0.95885,               0.006436,               0.006436,               0.006436
                     74,                 1.6378,                 1.5728,                0.91949,                 0.6961,                 0.5925,                0.68429,                0.41847,                 1.4355,                 1.9429,                0.95885,              0.0063865,              0.0063865,              0.0063865
                     75,                  1.617,                 1.7431,                 1.0059,                0.83438,                0.58009,                0.69486,                 0.4972,                 1.1919,                 2.0961,                0.91892,               0.006337,               0.006337,               0.006337
                     76,                 1.3211,                 1.5271,                0.84527,                0.83438,                0.58009,                0.69486,                 0.4972,                 1.1919,                 2.0961,                0.91892,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.334,                 1.5801,                 0.9038,                0.88162,                0.63704,                0.72956,                0.50454,                 1.3171,                 1.7554,                0.93186,               0.006238,               0.006238,               0.006238
                     78,                 1.2735,                 1.4697,                0.94214,                0.88162,                0.63704,                0.72956,                0.50454,                 1.3171,                 1.7554,                0.93186,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3308,                 1.7648,                0.95414,                0.74477,                  0.625,                0.72002,                0.47006,                 1.2912,                 1.9245,                0.92004,               0.006139,               0.006139,               0.006139
                     80,                  1.519,                 1.6277,                0.90258,                0.74477,                  0.625,                0.72002,                0.47006,                 1.2912,                 1.9245,                0.92004,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4814,                 1.6788,                0.90757,                0.79159,                0.73393,                0.78143,                0.57078,                 1.1442,                 1.5544,                0.90653,                0.00604,                0.00604,                0.00604
                     82,                  1.133,                 1.6435,                0.97541,                0.79159,                0.73393,                0.78143,                0.57078,                 1.1442,                 1.5544,                0.90653,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2625,                 1.5295,                0.93157,                0.72963,                0.73333,                0.76952,                0.47832,                 1.2406,                 1.6584,                 0.9191,               0.005941,               0.005941,               0.005941
                     84,                  1.355,                 1.5978,                0.94054,                0.72963,                0.73333,                0.76952,                0.47832,                 1.2406,                 1.6584,                 0.9191,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3756,                 1.5512,                0.90981,                0.79134,                0.78964,                0.81582,                0.61289,                 1.1168,                 1.4404,                0.90368,               0.005842,               0.005842,               0.005842
                     86,                 1.4805,                 1.4751,                0.93359,                0.79134,                0.78964,                0.81582,                0.61289,                 1.1168,                 1.4404,                0.90368,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.5103,                  1.576,                0.95618,                0.83844,                 0.7989,                0.85593,                 0.5963,                 1.2394,                 1.4392,                0.91634,               0.005743,               0.005743,               0.005743
                     88,                 1.3437,                 1.4455,                0.95693,                0.83844,                 0.7989,                0.85593,                 0.5963,                 1.2394,                 1.4392,                0.91634,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.4121,                 1.6066,                0.99812,                0.81286,                0.77048,                0.82797,                0.60233,                 1.1453,                 1.3708,                0.89867,               0.005644,               0.005644,               0.005644
                     90,                 1.1485,                 1.5638,                0.86607,                0.81286,                0.77048,                0.82797,                0.60233,                 1.1453,                 1.3708,                0.89867,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1922,                 1.4369,                0.91277,                0.81643,                0.83643,                0.84799,                0.56488,                 1.2455,                 1.4017,                0.91426,               0.005545,               0.005545,               0.005545
                     92,                 1.2517,                 1.6126,                0.95147,                0.81643,                0.83643,                0.84799,                0.56488,                 1.2455,                 1.4017,                0.91426,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1628,                 1.2887,                0.87494,                0.86414,                0.88148,                0.87418,                0.65028,                 1.0758,                 1.3137,                0.89993,               0.005446,               0.005446,               0.005446
                     94,                  1.146,                 1.3625,                0.89516,                0.86414,                0.88148,                0.87418,                0.65028,                 1.0758,                 1.3137,                0.89993,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2306,                 1.5457,                0.97134,                0.86088,                0.75088,                0.87313,                0.62717,                 1.0618,                 1.2624,                0.89819,               0.005347,               0.005347,               0.005347
                     96,                  1.128,                 1.2692,                0.89359,                0.86088,                0.75088,                0.87313,                0.62717,                 1.0618,                 1.2624,                0.89819,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2081,                 1.6283,                0.97113,                0.89357,                0.76247,                0.87728,                0.69625,                0.98707,                 1.2499,                0.88516,               0.005248,               0.005248,               0.005248
                     98,                 1.2744,                 1.4945,                0.92641,                0.89357,                0.76247,                0.87728,                0.69625,                0.98707,                 1.2499,                0.88516,              0.0051985,              0.0051985,              0.0051985
                     99,                0.98202,                 1.3346,                0.85601,                0.72124,                0.67729,                0.86923,                0.63285,                 1.1233,                  1.598,                0.89189,               0.005149,               0.005149,               0.005149
                    100,                 1.0334,                  1.302,                0.86269,                0.72124,                0.67729,                0.86923,                0.63285,                 1.1233,                  1.598,                0.89189,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2089,                 1.4848,                0.91027,                0.73101,                 0.7283,                0.84601,                0.58188,                 1.1984,                 1.4892,                0.90504,                0.00505,                0.00505,                0.00505
                    102,                 1.3619,                 1.4048,                0.92165,                0.73101,                 0.7283,                0.84601,                0.58188,                 1.1984,                 1.4892,                0.90504,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3429,                 1.3828,                0.90864,                0.81294,                0.80561,                0.87817,                0.69218,                0.95832,                 1.2324,                 0.8776,               0.004951,               0.004951,               0.004951
                    104,                  1.015,                 1.2359,                0.90925,                0.81294,                0.80561,                0.87817,                0.69218,                0.95832,                 1.2324,                 0.8776,              0.0049015,              0.0049015,              0.0049015
                    105,                0.98351,                 1.0981,                0.85083,                0.81902,                0.85833,                0.88471,                0.64502,                 1.1734,                 1.2607,                0.90775,               0.004852,               0.004852,               0.004852
                    106,                 1.1543,                 1.2498,                0.84552,                0.81902,                0.85833,                0.88471,                0.64502,                 1.1734,                 1.2607,                0.90775,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2175,                 1.3947,                0.88683,                 0.8083,                0.83174,                0.88455,                0.65999,                 1.0901,                 1.3172,                0.89909,               0.004753,               0.004753,               0.004753
                    108,                 1.2174,                 1.4243,                0.92172,                 0.8083,                0.83174,                0.88455,                0.65999,                 1.0901,                 1.3172,                0.89909,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0835,                 1.3275,                0.90576,                0.77647,                0.84069,                0.88109,                0.71028,                0.91811,                 1.2043,                0.87241,               0.004654,               0.004654,               0.004654
                    110,                 1.0012,                 1.2478,                0.84772,                0.77647,                0.84069,                0.88109,                0.71028,                0.91811,                 1.2043,                0.87241,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0242,                 1.1179,                0.90797,                0.67752,                0.83408,                0.88107,                0.64799,                 1.1442,                 1.3109,                0.90272,               0.004555,               0.004555,               0.004555
