                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.31177,                0.36832,                0.84784,                0.95675,                      1,                  0.995,                0.94525,                0.44245,                0.62659,                0.90243,             0.00041894,             0.00041894,             0.00041894
                     56,                0.36979,                0.40668,                0.89148,                0.95675,                      1,                  0.995,                0.94525,                0.44245,                0.62659,                0.90243,             0.00041763,             0.00041763,             0.00041763
                     57,                0.40712,                0.45277,                0.89322,                0.97834,                      1,                  0.995,                 0.9452,                0.45774,                0.68406,                0.93057,             0.00041598,             0.00041598,             0.00041598
                     58,                0.34675,                0.45649,                0.89343,                0.97834,                      1,                  0.995,                 0.9452,                0.45774,                0.68406,                0.93057,               0.000414,               0.000414,               0.000414
                     59,                0.44115,                0.69591,                0.87863,                0.97834,                      1,                  0.995,                 0.9452,                0.45774,                0.68406,                0.93057,             0.00041169,             0.00041169,             0.00041169
                     60,                0.61418,                0.91984,                 1.0167,                0.98171,                      1,                  0.995,                0.94517,                0.40261,                0.53095,                 0.8936,             0.00040905,             0.00040905,             0.00040905
                     61,                0.39645,                0.54369,                0.95663,                0.98171,                      1,                  0.995,                0.94517,                0.40261,                0.53095,                 0.8936,             0.00040608,             0.00040608,             0.00040608
                     62,                0.44544,                0.61135,                0.90245,                0.98171,                      1,                  0.995,                0.94517,                0.40261,                0.53095,                 0.8936,             0.00040278,             0.00040278,             0.00040278
                     63,                0.49766,                0.59832,                0.98933,                0.98262,                      1,                  0.995,                  0.995,                0.32281,                0.38903,                0.79254,             0.00039915,             0.00039915,             0.00039915
                     64,                0.61871,                0.81781,                 1.0389,                0.98262,                      1,                  0.995,                  0.995,                0.32281,                0.38903,                0.79254,             0.00039519,             0.00039519,             0.00039519
                     65,                0.36814,                0.45353,                0.86357,                0.98262,                      1,                  0.995,                  0.995,                0.32281,                0.38903,                0.79254,              0.0003909,              0.0003909,              0.0003909
                     66,                0.39284,                0.48494,                0.90773,                0.98166,                      1,                  0.995,                 0.8955,                0.48265,                0.52978,                0.96479,             0.00038629,             0.00038629,             0.00038629
